Country,Density_P_Km2,Agricultural_Land_percent,Land_AreaKm2,Armed_Forces_size,Birth_Rate,Co2_Emissions,CPI,CPI_Change_percent,Fertility_Rate,Forested_Area_percent,Gasoline_Price,GDP,Gross_primary_education_enrollment_percent,Gross_tertiary_education_enrollment_percent,Infant_mortality,Life_expectancy,Maternal_mortality_ratio,Minimum_wage,Out_of_pocket_health_expenditure,Physicians_per_thousand,Population,Population:_Labor_force_participation_percent,Tax_revenue_percent,Total_tax_rate,Unemployment_rate,Urban_population,Latitude,Longitude,Continent
0,-0.15004772347058698,0.8857150744761494,-0.018204088254308512,0.5047871470729113,1.2440259688696436,-0.19933802807185277,-0.09210425469328665,-0.17295204073721795,1.3948380232140627,-1.2732078408417296,-0.8846461137683452,-0.2108249792248162,0.11925423372675739,-0.9728680622124307,1.3824427620995614,-1.0604873548669274,2.1360612176108296,-0.5903863586632013,2.429578676609079,-0.9321211641216348,-0.008485973607854953,-1.3839202986188766,-1.092322262137028,1.548099496327665,0.9075505418384499,-0.16219537076609336,0.6258674548308317,0.716288061462067,1
1,-0.1272951482843145,0.1836238569035921,-0.3442812426038224,-0.37125602045892153,-0.8531870378477059,-0.2043704554321913,-0.1733764696758484,-0.21142236158561056,-0.844275874536415,-0.16363468425621128,0.9702570280039924,-0.21259853514483698,0.35211046446825733,0.5916661597019511,-0.6868549366442216,0.8200780746794926,-0.606742441809868,-0.33202271930154864,1.291178247257957,-0.38220983246514745,-0.252242771346857,-0.7033542416656684,0.31618628620306033,-0.19852181181397716,1.157214235841927,-0.2705139512871465,0.9280110403635012,8.646026686151575e-05,2
2,-0.17128346031110794,-1.0192924292040562,0.8863192585242387,0.4880474687124304,0.41263442926802896,-0.02737161401332183,-0.0882579845514863,-0.18577548102001548,0.2556397243585566,-1.3286864986710054,-2.065039022168923,-0.14083100107388935,0.5772048208517078,0.46733231425180155,-0.05213269987243771,0.5782910908806675,-0.17969275486956682,-0.39567752899934716,-0.23374883950075462,-0.0713903841375676,0.02622908865745342,-2.1545612748747143,3.133203382883237,1.2820910787083915,1.0272240480549926,0.12997805721355257,0.37854687712563034,-0.2787421450560639,0
3,-0.09746399415120176,0.03852500527193018,-0.35907150427136736,-0.31964201218077215,-1.3169840233989112,-0.2093189278873404,-0.1834795148770842,-0.198598921302813,-1.119254774260158,0.0881530705074255,1.3918259238613415,-0.21822267117812724,0.3055392183199578,1.0354689136004014,-0.9500324494520345,1.155893329955639,-0.6463656086393805,1.731141995021213,0.2057266750859573,0.8909544462612854,-0.2714803801407453,-0.37808369973950307,0.6190913503622191,-0.10817933035837476,-0.3067228789966429,-0.2931166989830578,0.9846749565109641,-0.28081844118421717,2
4,-0.16723855805577062,0.3895706140582088,0.2926999730436208,-0.06994180997026567,2.0784554799923356,-0.16767729491339808,0.2025042315789947,0.4596710132141269,2.2197747223852913,0.6130665253536514,-0.1258221012251163,-0.1757859526507799,0.8566322977415072,-0.9866829339291139,1.5733754674699354,-1.5574939326756245,0.38823930302011217,-0.48554314269035675,0.04688010354859148,-0.9739622437041936,-0.05154960205850381,1.4784604703313793,-1.1074675153449862,0.42885653162770465,0.03475928098331939,-0.010627404339953052,-1.264746101791883,-0.034478714363754395,0
5,-0.06763284001808897,-0.8741935775723942,-0.35908457911371844,-0.39636553799964286,-0.49369374118683723,-0.20921185496478,-0.187180891280666,-0.21997132177414222,-0.5535838948284583,-0.41115484995605767,-0.069612915110803,-0.21888430803023282,0.19687297730725736,-0.4513566549076367,-0.8313445515190993,0.6051563113027596,-0.48787294132133063,0.3869021902265281,-0.434954496781418,0.5502485125175919,-0.27134199926476266,0.23742824882847063,-0.0018640311640565703,0.12269590002816386,-0.06428086209244001,-0.29370975669458227,-0.08102349846039553,-1.2346903346304419,3
6,-0.1717890730930251,0.7078519660244347,1.0948154015978524,-0.10342116669122742,-0.32255467883278993,0.035098135874129854,0.1261584036958621,2.0155817675268937,-0.34145731504157106,-0.9446034829298645,0.23953760851792014,-0.011094205904967767,0.5616810721356075,1.8004674349117384,-0.6352515027603367,0.5514258704585755,-0.5010806635978348,0.5029786079107489,-0.7897118398815349,1.2675241625043145,0.039291714100168254,-0.14288807711596863,-0.9711602364733647,3.29973983121684,0.6331268120660328,0.26224596674447265,-2.4044886493947537,-1.2621118152725195,5
7,-0.1278007610662317,0.9231599394133523,-0.34376086387824933,-0.2596581647223823,-0.629389802461644,-0.20361607802324305,-0.14668967752760365,-0.21142236158561056,-0.7342843146469179,-0.8635192907178459,-0.6879139623682486,-0.21334319632143786,-0.7578375687328922,0.577851287985268,-0.52172394821579,0.33650410708184253,-0.5583141267960194,-0.5042651455426503,2.5990150195822683,1.530525234166113,-0.2515255128416887,-0.7133625660326275,0.6645271099860925,-0.9011855564686607,2.118728958202425,-0.26886885631919727,0.8826015636142631,0.37474410491132476,1
8,-0.17886765203986543,0.4223348708782616,3.689292978881809,-0.234548647181661,-0.7701491496049138,0.24749187862574773,-0.17140064597286878,-0.20287340139707882,-0.7499973946311318,-0.667210193783485,-0.2382404734537426,0.42635615516873887,-0.16793511752109277,2.5982762765501977,-0.9293910758984804,1.3842477035434189,-0.6463656086393805,4.337244792060492,-0.6838141255232911,1.1001598441740796,-0.09352030838145418,0.2774615462963069,0.9825774273532094,0.34353307691963575,-0.2995012018973689,-8.13168643831553e-05,-1.8540924935998397,1.7115420695784556,4
9,-0.12527269715664585,-0.3172012116314989,-0.31545226120707276,-0.3377766637379597,-1.0638197299757641,-0.1351234762417692,-0.17598455696378149,-0.2071478814913447,-0.9621239744180191,0.6386720597363942,0.520583539089486,-0.012647616979706611,0.04939736450430696,1.631235256382368,-0.9397117626752575,1.2364889912219135,-0.6507681827315486,0.39251879108221627,-0.7738271827277985,1.99077710957426,-0.21052016137414906,-0.20293802331772168,1.3460635043441997,0.544294146820974,-0.4233013807420682,-0.2241326075980411,1.1944998063374672,-0.08455108305737284,2
